id,priority,area,scenario,expected_result,required_evidence,result,evidence_reference
PLAN-07,P0,Planning,Concept wijzigen,Bestaande gepubliceerde route blijft intact,Versietest,pass,local:db-014 immutable publication and separate correction revision
PLAN-08,P0,Planning,Publiceren stale voorstel,Hercontrole/invalidation; geen oude input overschrijven,Parallelle API test,pass,local:db-014 publish revalidates changed graph and capacity input
PLAN-09,P0,Planning,Route na start wijzigen,Historische stop-FKs/uitkomsten blijven intact,Reroute-integratietest,pass,local:db-014 live run remains pinned to original plan and stop FKs
PLAN-10,P1,Planning,Andere aantallen poorten/werelden,Geen hardcoded 30/5/6 bezoeken per groep,Variabele fixtures,pass,local:unit variable four-stop plan
RUN-01,P0,Live,Groepen met 1/5/7/10 kinderen,Afronding op echte snapshot; nooit exact-zeven-check,Geparametriseerde DB test,pass,local:unit journey
RUN-02,P0,Live,Lege groep starten of afronden,Geweigerd of stopped volgens contract,Domein/DB test,pass,local:db-002
RUN-03,P0,Live,Ontbrekende/dubbele statusrij,Geen onvolledige afronding,Constraint + commandtest,pass,local:db-009 missing row trigger + unique constraint
RUN-04,P0,Live,Ouder start/scant/complete,Alle commando’s geweigerd,Directe API test,pass,local:db-009 parent start scan complete denied
RUN-05,P0,Live,Leider bedient andere groep,Geweigerd ook bij bekend run-ID,Directe API test,pass,local:db-002
RUN-06,P0,Live,Ouder skipt ander kind,Geweigerd; zelfde groep/samenloop maakt geen verschil,Directe API test,pass,local:unit + local:db-003
RUN-07,P0,Live,Eigen kind skip en terugnemen,Alleen huidige stop en juiste versie; andere kinderen intact,DB/E2E,pass,local:db-003
RUN-08,P0,Live,Leider markeert visited zonder scan,Geweigerd,DB commandtest,pass,local:db-003
RUN-09,P0,Live,Scan verkeerde/ingetrokken QR,Geen evidence en geen advance,Scanintegratietest,pass,local:db-009 arbitrary and revoked token leave evidence empty
RUN-10,P0,Live,Gemengd visited/skipped,Geldige scan vereist; correcte individuele uitkomsten,DB/E2E,pass,local:db-009 scanned mixed outcome
RUN-11,P0,Live,Iedereen skipped zonder bevestiging,Afronding geweigerd,DB/E2E,pass,local:unit journey
RUN-12,P0,Live,Iedereen skipped met bevestiging,Eén advance; geen fictieve scan/bezoekstatus,DB/E2E,pass,local:unit journey
RUN-13,P0,Live,Bevestiging voor vorige stop hergebruiken,Geweigerd door stop/versiebinding,Directe API test,pass,local:db-003
RUN-14,P0,Live,Nog één pending deelnemer,Afronding geweigerd,DB/E2E,pass,local:unit journey
RUN-15,P0,Live,Bulk resterende kinderen,Alleen pending wijzigt; visited/skipped blijven intact,DB commandtest,pass,local:db-009 idempotent pending-only bulk command + UI
RUN-16,P0,Live,Laatste stop,Run completed; geen nieuwe of eerste poort,DB/E2E,pass,local:db-012 six-stop completion and idempotent final retry
RUN-17,P1,Live,Zegel na skip,Zegel aanwezig met juiste skipuitkomst,DB/UI test,pass,local:db-012 six truthful all-skipped seals + history UI
RUN-18,P0,Live,Pauze/stop mutatieblokkade,Geen ongeautoriseerde scan/advance,Toestandstest,pass,local:db-007 scan and visit blocked while unavailable
RUN-19,P0,Live,Leiderwissel met open oude telefoon,Oude leider verliest direct mutatierecht,Twee sessies,pass,local:db-009 old/new leader claims after audited reassignment
RUN-20,P0,Live,Kind vertrekt tijdens tocht,Gecontroleerde actuele snapshotwijziging; historie intact,Roster-integratietest,pass,local:db-009 roster version and history preservation
RUN-21,P0,Live,Laatste kind vertrekt,Groep stopped; geen automatische succesvolle finish,Roster-integratietest,pass,local:db-009 last departure stops run
RUN-22,P0,Live,Systemskip gesloten poort,Bevoegdheid/reden/confirm; één advance; historie intact,DB/E2E,pass,local:db-007 atomic idempotent system skip + UI confirmation
RUN-23,P0,Live,Systemskip terwijl al visited,Normale mixed-flow; bestaande scan/bezoeken niet gewist,DB test,pass,local:db-007 recorded visit cannot be overwritten
RUN-24,P0,Live,Oude pauzejob na sluiting,Poort blijft gesloten,Jobversietest,pass,local:db-007 stale pause job returns STALE_VERSION after close
RACE-01,P0,Concurrency,Zelfde key gelijktijdig complete,Eén effect en consistente receipt,Parallelle DB/API test,pass,local:concurrency advisory-key serialization
RACE-02,P0,Concurrency,Andere keys zelfde oude stop,Hoogstens één advance,Parallelle DB/API test,pass,local:concurrency stale stop contention
RACE-03,P0,Concurrency,Key hergebruiken andere payload,Conflict zonder effect,API test,pass,local:db-002
RACE-04,P0,Concurrency,Timeout na commit,Retry zelfde key geeft bevestigde uitkomst,Fault injection,pass,local:concurrency committed receipt retry
RACE-05,P0,Concurrency,Ouder skip versus leider visited,Geen stille overschrijving; conflict en refresh,Parallelle DB test,pass,local:concurrency participant version conflict
RACE-06,P0,Concurrency,Complete versus laatste beslissing,Consistente volledige set vereist,Parallelle DB test,pass,local:concurrency complete versus pending decision
RACE-07,P0,Concurrency,Verzoek oude stop na advance,Kan huidige nieuwe stop niet muteren,API test,pass,local:db-003
PRIV-01,P0,Privacy,Inspecteer HTML/RSC/bundles/prefetch,Geen geheime toekomstige groepsbestemmingen,Geautomatiseerde payloadscan,pass,local:authenticated-e2e HTML network storage reveal current stop only
PRIV-02,P0,Privacy,REST/RPC/joins/GraphQL testen,Geen bypass naar private tabellen/routeplannen,Negatieve API matrix,pass,local:db-001
PRIV-03,P0,Privacy,Vreemd realtimekanaal,Abonnement/payloadtoegang geweigerd,Realtime test,pass,local:db-010 exact realtime policy helper own/foreign topics
PRIV-04,P0,Privacy,Bekende UUID ander event,Geen cross-event data of mutatie,Constraint/RLS test,pass,local:db-002/004
PRIV-05,P0,Privacy,Privéresponse via gedeelde cache,Geen data van gebruiker A aan B,Cachetest met twee sessies,pass,local:e2e security headers
PRIV-06,P0,Privacy,Outbox/audit/clientgrant,Geen onbevoegde inzage of wijziging,SQL grant/RLS test,pass,local:db-001
PRIV-07,P0,Privacy,Storage vreemde upload/QR,Geen download/overschrijving zonder eigendom,Storagepolicytest,pass,local:db-010 exact private bucket policy helpers own/foreign objects
PRIV-08,P0,Privacy,Logging/secrets inspecteren,Geen OTP/API key/QR-token/onnodige kindgegevens,Log/build secret scan,pass,local:artifact scanner 587 production files
MAIL-01,P0,Mail,Auth-hook ongeldige signature,Geen SendGrid-call; request geweigerd,Hookcontracttest,pass,staging:c66798c direct invalid-signature probe returned 401
MAIL-02,P0,Mail,Auth-hook onbekend actiontype,Gecontroleerde fout; geen verkeerde loginmail,Hookfixturetest,pass,local:unit Auth hook action contract
MAIL-03,P0,Mail,Auth-hook SendGrid-timeout,Geen vals succes; beperkt tijdsbudget; generieke herstelmelding,Fault injection,pass,local:unit stalled fetch aborts within hook budget
MAIL-04,P0,Mail,Staging verboden ontvanger,Geen verzending en geen OTP-omleiding,Serverallowlisttest,pass,local:unit provider adapter blocks before fetch
MAIL-05,P0,Mail,Mail Send-key beperkte scope,Verzenden werkt zonder onnodig accountbeheer,Providerconfig + echte test,blocked,blocked:B-007
MAIL-06,P1,Mail,Templates ontbreken bij provider,Geteste versioned HTML/text via API werkt,Render + allowlisted mail,blocked,local:unit versioned HTML text renderer; provider delivery blocked:B-005
MAIL-07,P0,Mail,Dubbele businessmutatie,Eén logische outboxtaak per event/recipient/type,DB dedupetest,pass,local:db-006 invitation replay/outbox uniqueness
MAIL-08,P0,Mail,SendGrid 202,Status accepted; niet delivered,Adaptercontracttest,pass,local:unit SendGrid 202 accepted contract
MAIL-09,P0,Mail,Workercrash na provideracceptatie,Unknown/herstel; geen blind eindeloos herhalen,Fault injection,pass,local:db-016 expired processing lease becomes unknown without resend
MAIL-10,P0,Mail,Webhook rawbody/signature/timestamp,Manipulatie geweigerd; geldige body geaccepteerd,Signed fixturetest,pass,local:unit raw-body signature and freshness contract
MAIL-11,P0,Mail,Dubbel provider-event,Eén effect; dubbele geldige event geeft 2xx,Webhook/DB test,pass,local:db-013 provider-event uniqueness + local:unit webhook acknowledgment
MAIL-12,P0,Mail,Event buiten volgorde,Geen terugval van delivered naar processed,Webhooktest,pass,local:unit mail status
MAIL-13,P1,Mail,Webhookopslag tijdelijk stuk,Geen vroeg 2xx; retry kan herstellen,Fault injection,pass,local:unit storage failure returns retryable 503
MAIL-14,P1,Mail,429/configuratiefout/bounce,Begrensde backoff of passende stop; beheer ziet oorzaak,Adapter/worker test,pass,local:unit 429 rejection and bounded retry + local:db-013 bounce state
MAIL-15,P0,Mail,Bestaande SendGrid-consumer,Andere appwebhook/template blijft intact,Configuratie-diff review,pass,workflow:staging 35643888861 preserved occupied shared webhook
MAIL-16,P0,Mail,Echte bezorgingsproef,From/Reply-To/code en mailauth gecontroleerd,Ontvangen testmail + headers,blocked,workflow:staging 35700649499 incorrectly treated historical blocks as suppression; corrected check awaits real delivery
MAIL-17,P0,Mail,Beveiligde emailwijziging indien aan,Beide adressen/tokens correct; geen accountovername,Auth E2E,pass,local:auth distinct old and new address tokens dual-confirmed and replay rejected
MAIL-18,P1,Mail,Scheduler/herhaalde leaseclaim,Geen dubbele worker op actieve lease,Jobintegratietest,pass,local:db-005
PWA-01,P1,PWA,Manifest en echte service worker,Installeerbare shell en juist scope/cachebeleid,Browserinspectie,pass,local:e2e service worker
PWA-02,P0,PWA,Offline huidige stop,Duidelijk stale en alleen eerder vrijgegeven data,Browser offline test,pass,local:authenticated-e2e stale current stop only with mutations disabled
PWA-03,P0,PWA,Offline complete/skip,Geen vals succes of nieuwe bestemming,Browser offline test,pass,local:e2e network-only private paths
PWA-04,P0,PWA,Reconnect met gemiste events,Nieuwe bevoegde snapshot herstelt juiste versie,Netwerkonderbreking,pass,local:authenticated-e2e server advance while offline then authoritative reconnect
PWA-05,P0,PWA,Offlinecache TTL/accountwissel,Privédata verloopt of wordt gewist volgens contract,IndexedDB/testklok,pass,local:unit user/group binding TTL and logout purge
PWA-06,P1,PWA,Service-worker update tijdens invoer,Geen geforceerd verlies van actieve stap,Update E2E,pass,local:authenticated-e2e actual service worker update preserves unsaved child name and active wizard step
QR-01,P1,Camera,Camera geweigerd/niet aanwezig,Handmatige code blijft bruikbaar,Browserpermissiontest,pass,local:authenticated-e2e denied camera shows fallback and manual input
QR-02,P1,Camera,Scanner sluiten/route verlaten,Camerastream stopt,Browser/media inspectie,pass,local:authenticated-e2e MediaStream tracks end on close and client navigation including delayed camera permission
QR-03,P0,Camera,Willekeurige QR-URL,Niet automatisch openen of vertrouwen,QR-parsertest,pass,local:db-009 opaque arbitrary URL rejected
MAP-01,P1,Kaart,Werkelijke providerstijl en attributie,Kaart werkt binnen keyrestricties en bronvermelding,Staging browsercheck,blocked,blocked:B-004
MAP-02,P0,Kaart,Publieke marker privéhuis,Geen exacte locatie zonder toestemming,Payload/kaarttest,pass,local:e2e public map
MAP-03,P0,Kaart,Groepskaart cache/prefetch,Geen toekomstige stoplocaties,Netwerk/SW-inspectie,pass,local:e2e cache/privacy
UX-01,P1,UX,Homepage versie4,Exact logo/avondbeelden/verhaal behouden,Visuele vergelijking,pass,local:e2e screenshot
UX-02,P1,UX,Alle schermen op smalle telefoon,Geen clipping; primaire acties bereikbaar,Viewportmatrix,pass,local:e2e 320px and 390px public routes plus private roles and all eight admin sections; wizard steps checked at 320px
UX-03,P1,UX,200 procent tekst en toetsenbord,Leesbaar en volledig bedienbaar,A11y handmatige check,not-run,local:e2e automated 200 percent text and basic keyboard checks pass; complete manual accessibility review remains open
UX-04,P1,UX,Reduced motion/audio uit,Geen verplichte animatie of geluid,Mediaquery/E2E,pass,local:e2e reduced motion
UX-05,P1,UX,Wizardfout en stapwissel,Fout/stapfocus correct; ingevoerde data behouden,E2E,pass,local:authenticated-e2e validation and save-conflict error focus; step heading focus; values preserved; failed save prevents submission
UX-06,P1,UX,Routeadvance focus,Nieuwe poort duidelijk aangekondigd en zichtbaar,E2E/a11y,pass,local:authenticated-e2e new portal heading receives focus
CMS-01,P1,Beheer,Content/sponsor concept publiceren,Alleen goedgekeurde versie publiek; audit aanwezig,E2E,pass,local:db-018 immutable draft publication sponsor field boundary and admin UI
CMS-02,P0,Beheer,Contact bij provideruitval,Bericht opgeslagen; outbox wacht; geen dataverlies,Integratietest,pass,local:db-016 durable contact before provider delivery
OPS-01,P0,Release,Nieuwe installatie en schema-upgrade,Beide migratiepaden slagen,DB CI,pass,local db reset + 338 pgTAP + schema lint; prior staged upgrade workflow 35643888861
OPS-02,P0,Release,Staging/productie secrets gescheiden,Geen productiesleutel in preview of browser,Config/buildinspectie,pass,GitHub environment inventory + workflow validation
OPS-03,P0,Release,Productietarget/permissions,Geen deployment naar onbekend/ongeautoriseerd project,Preflightbewijs,pass,run-config + dedicated runner boundary in workflow:staging
OPS-04,P0,Release,Ontbrekende echte tijden/routes,Event blijft concept; code kan wel klaar zijn,Activationgatetest,pass,production_closed release control
OPS-05,P1,Release,Rollbackprocedure,Compatibele approllback en DBherstelpad beschreven,geteste stagingprocedure,pass,docs/operations/ROLLBACK.md
OPS-06,P1,Release,Retention dry-run,Geen echte verwijdering zonder vastgesteld beleid,Jobtest + rapport,pass,local:db-005
OPS-07,P1,Praktijk,Echte avondproef met telefoons,Scan/skip/allskip/sluiting/slecht bereik doorlopen,Getekend testverslag,blocked,blocked:B-003
OPS-08,P2,Prestatie,200 gelijktijdige testclients,Geen ongeldige toestand of ongecontroleerde fouttoename,Belastingrapport met werkelijke latency,pass,local:load-acceptance-20260922.json 200 local clients with one identity; 800 requests; zero failures; exactly one stop advance
OPS-09,P0,Overdracht,Eindrapport,Code/integratie/deployment/operationele status afzonderlijk,Documentcontrole,pass,docs implementation status acceptance blockers decisions and operations runbook
RUN-25,P0,Live,Visited kind vertrekt; ander kind skipt,Mixed-uitkomst en originele scan/bezoek blijven behouden,Roster/complete DB test,pass,local:db-009 departed visited evidence preserved
SEC-01,P0,Websecurity,Cross-origin cookiegeauthenticeerde mutatie,Geweigerd zonder effect; providerwebhook gebruikt eigen signaturepad,CSRF/origintest,pass,local:unit exact-origin gate + independently signed provider webhook
SEC-02,P0,Misbruik,Contact/sponsor/invite herhaald naar willekeurig doel,Duurzame serverlimiet en dedupe; geen onbeperkte mailrelay,Rate-limit/outboxtest,pass,local:db-010 fixed organization target and durable rate buckets
MAIL-19,P0,Mail,Productiedeploy zonder mailactivatiebevoegdheid,MAIL_MODE blijft disabled/afgesproken testmodus; geen echte bulk,Releaseconfig test,pass,production workflow requires exact green staging commit and explicit live transactional mode; no bulk path
